"1 928 300 601","Bosch","BDK 2.8","Plug",-1,"Transparent","",0,0,0.0,0.0,0.0,0.0,6.3,"https://bosch-connectors.com/medias/1928300601-new.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8MzI3NzB8aW1hZ2UvanBlZ3xhRFJoTDJnNU1TODRPREU0TkRNNU1EWXhOVE0wTHpFNU1qZ3pNREEyTURGZmJtVjNMbXB3Wnd8NjFiNmIzMTMyNGFmMDI1Mjc2ODYyNjQ3NDEzYzE0NjhhMTcwMDJjNDlkN2NjNDcwZDk0YjIzZjNkM2NiMTk4YQ",""
"1 928 300 935","Bosch","Matrix 1.2","Plug",-1,"White","",0,0,0.0,0.0,0.0,0.0,3.9,"https://bosch-connectors.com/medias/1928300935.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8MjA3NzR8aW1hZ2UvanBlZ3xhR0l6TDJnd1l5ODRPREU0TkRRNE9UVTNORGN3THpFNU1qZ3pNREE1TXpVdWFuQm58NGEwNzc4MzBjZGQwM2I0NTdkMjliODg5MTQwMjA3ZTc3ZWQwY2EzZGU2OTRmOTc0YTI3MWU5ZDU0NzdmMWJlMw",""
"828904-1","TE","MCP","SWS",-1,"Light Blue","",0,0,0.0,5.6,0.0,1.2,2.1,"https://www.te.com/content/dam/te-com/catalog/part/008/289/041/828904-1-t1.jpg/jcr:content/renditions/product-high-res.png?w=300","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=828904_acad&DocType=Customer%20Drawing&DocLang=English&DocFormat=pdf&PartCntxt=828904-1"
"828905-1","TE","MCP","SWS",-1,"White","",0,0,0.0,5.6,0.0,2.2,3.0,"https://www.te.com/content/dam/te-com/catalog/part/008/289/051/828905-1-t1.jpg/jcr:content/renditions/product-high-res.png?w=300","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=828905&DocType=Customer%20Drawing&DocLang=English&DocFormat=pdf&PartCntxt=828905-1"
"828922-2","TE","MCP","Plug",-1,"Green","",0,0,0.0,5.4,0.0,0.0,0.0,"https://www.te.com/content/dam/te-com/catalog/part/008/289/222/828922-2-t1.jpg/jcr:content/renditions/product-high-res.png?w=300",""
"7158-3030-50","Yazaki",,"SWS",-1,"Red","",0,0,7.1,5.4,0.0,1.2,1.7,"https://www.mouser.com/images/yazaki/images/ITP_272-7158303050_t.jpg","https://www.mouser.com/catalog/specsheets/Yazaki_7158-3030-50R_1164931.pdf"
"7158-3031-90","Yazaki",,"SWS",-1,"Blue","",0,0,7.1,5.4,0.0,1.63,2.2,"https://nexelec.com/cdn/shop/files/7158-3031-90__41063.1492707644.1280.1280.jpg?v=1736120412&width=675","https://www.mouser.com/catalog/specsheets/Yazaki_7158-3030-50R_1164931.pdf"
"7158-3033-40","Yazaki",,"SWS",-1,"Light Gray","",0,0,7.1,5.4,0.0,2.2,2.69,"https://nexelec.com/cdn/shop/files/7158-3033-40__14946.1492743763.1280.1280.jpg?v=1736117489&width=675","https://www.mouser.com/catalog/specsheets/Yazaki_7158-3030-50R_1164931.pdf"
"7158-3034-50","Yazaki",,"SWS",-1,"Red","",0,0,12.6,13.6,0.0,3.4,4.4,"https://nexelec.com/cdn/shop/files/7158-3034-50__70988.1584162396.1280.1280.jpg?v=1736126741&width=675","https://www.corsa-technic.com/item_dwg/7158-3034-50_etc.pdf"
"7158-3035","Yazaki",,"SWS",-1,"Natural","",0,0,12.6,13.6,0.0,4.0,5.0,"https://nexelec.com/cdn/shop/files/7158-3035__77199.1638259528.1280.1280.png?v=1736127250&width=675","https://www.corsa-technic.com/item_dwg/7158-3034-50_etc.pdf"
"7158-3036-70","Yazaki",,"SWS",-1,"Yellow","",0,0,12.6,13.6,0.0,5.3,6.5,"https://nexelec.com/cdn/shop/files/7158-3036-70__55261.1681364311.1280.1280.png?v=1736126763&width=675","https://www.corsa-technic.com/item_dwg/7158-3034-50_etc.pdf"
"7158-3006-90","Yazaki","090II ","SWS",-1,"Blue","",0,0,0.0,5.7,0.0,1.4,1.8,"https://www.mouser.com/images/yazaki/images/ITP_272-7158300690_t.jpg","https://www.mouser.com/datasheet/3/3739/1/7158_3006_90_R_REV_2_1792980.pdf"
"7158-3007-10","Yazaki","090II ","SWS",-1,"Gray","",0,0,0.0,5.7,0.0,2.0,2.2,"https://nexelec.com/cdn/shop/files/7158-3007-10__43491.1493465834.1280.1280.jpg?v=1736120421&width=800",""
"7158-3008-80","Yazaki","090II ","SWS",-1,"Brown","",0,0,0.0,5.7,0.0,2.3,2.7,"https://nexelec.com/cdn/shop/files/7158-3008-80__79204.1492660991.1280.1280.jpg?v=1736120564&width=800",""
"7157-8761","Yazaki","090II ","Plug",-1,"Orange","",0,0,0.0,5.7,0.0,0.0,0.0,"https://www.corsa-technic.com/item_images/090II-pg.jpg",""
